,image,expression,confidence
0,00000.png,neutral,0.3648824095726013
0,00001.png,happy,0.6011356115341187
0,00002.png,happy,0.49939581751823425
0,00003.png,neutral,0.598793625831604
0,00004.png,contempt,0.3392527997493744
0,00005.png,neutral,0.30215388536453247
0,00006.png,happy,0.5818170309066772
0,00007.png,neutral,0.354571133852005
0,00008.png,neutral,0.354571133852005
0,00009.png,happy,0.5705750584602356
0,00010.png,happy,0.39438456296920776
0,00011.png,happy,0.8492087721824646
0,00012.png,happy,0.3870523273944855
0,00013.png,neutral,0.5709976553916931
0,00014.png,happy,0.6461487412452698
0,00015.png,contempt,0.5149815678596497
0,00016.png,happy,0.32322996854782104
0,00017.png,happy,0.3740258812904358
0,00018.png,happy,0.8161671757698059
0,00019.png,happy,0.5454208850860596
0,00020.png,contempt,0.31803393363952637
0,00021.png,disgust,0.5453107357025146
0,00022.png,happy,0.8240801095962524
0,00023.png,happy,0.5732577443122864
0,00024.png,neutral,0.3936136066913605
0,00025.png,happy,0.7230984568595886
0,00026.png,neutral,0.5517439246177673
0,00027.png,happy,0.3787432610988617
0,00028.png,neutral,0.5434083938598633
0,00029.png,neutral,0.37308570742607117
0,00030.png,disgust,0.4712830185890198
0,00031.png,neutral,0.5572211742401123
0,00032.png,happy,0.8098892569541931
0,00033.png,happy,0.5388103127479553
0,00034.png,happy,0.34130343794822693
0,00035.png,neutral,0.26644498109817505
0,00036.png,happy,0.33185896277427673
0,00037.png,happy,0.7962446808815002
0,00038.png,surprise,0.33587896823883057
0,00039.png,neutral,0.36529049277305603
0,00040.png,contempt,0.4197652041912079
0,00041.png,contempt,0.4300408363342285
0,00042.png,happy,0.3025960624217987
0,00043.png,disgust,0.3058352768421173
0,00044.png,neutral,0.38379544019699097
0,00045.png,happy,0.41677868366241455
0,00046.png,disgust,0.4396263062953949
0,00047.png,happy,0.7518588304519653
0,00048.png,contempt,0.38895314931869507
0,00049.png,happy,0.5656517744064331
0,00050.png,neutral,0.2800145745277405
0,00051.png,contempt,0.3432263731956482
0,00052.png,neutral,0.26368433237075806
0,00053.png,contempt,0.41228678822517395
0,00054.png,surprise,0.3798428475856781
0,00055.png,happy,0.708640992641449
0,00056.png,happy,0.584775984287262
0,00057.png,neutral,0.3935532569885254
0,00058.png,disgust,0.3394002914428711
0,00059.png,neutral,0.3951449990272522
0,00060.png,neutral,0.4866240918636322
0,00061.png,neutral,0.26716238260269165
0,00062.png,surprise,0.45321160554885864
0,00063.png,neutral,0.4230439066886902
0,00064.png,neutral,0.30092084407806396
0,00065.png,neutral,0.47497448325157166
0,00066.png,neutral,0.47497448325157166
0,00067.png,happy,0.5754044055938721
0,00068.png,surprise,0.4584810137748718
0,00069.png,happy,0.33380499482154846
0,00070.png,neutral,0.381979376077652
0,00071.png,happy,0.6552660465240479
0,00072.png,neutral,0.273640513420105
0,00073.png,happy,0.6231411695480347
0,00074.png,happy,0.5834953188896179
0,00075.png,contempt,0.19003157317638397
0,00076.png,happy,0.5939977169036865
0,00077.png,contempt,0.3543514013290405
0,00078.png,happy,0.5439931154251099
0,00079.png,happy,0.7707133889198303
0,00080.png,neutral,0.35211536288261414
0,00081.png,happy,0.7025124430656433
0,00082.png,happy,0.42686107754707336
0,00083.png,neutral,0.3864675760269165
0,00084.png,contempt,0.4671693742275238
0,00085.png,neutral,0.37749749422073364
0,00086.png,happy,0.7811078429222107
0,00087.png,contempt,0.3946855068206787
0,00088.png,neutral,0.3258115351200104
0,00089.png,neutral,0.34118255972862244
0,00090.png,happy,0.6963886022567749
0,00091.png,happy,0.700596272945404
0,00092.png,happy,0.5796350240707397
0,00093.png,contempt,0.33690157532691956
0,00094.png,happy,0.5793647170066833
0,00095.png,happy,0.30813494324684143
0,00096.png,happy,0.49351802468299866
0,00097.png,contempt,0.3320413827896118
0,00098.png,neutral,0.47061705589294434
0,00099.png,neutral,0.4102671146392822
